,Driver,DriverNumber,LapTime,LapNumber,Compound,TyreLife,Year,GrandPrix
0,VER,1,115.49,1.0,MEDIUM,1.0,2024,Azerbaijan Grand Prix
1,VER,1,109.632,2.0,MEDIUM,2.0,2024,Azerbaijan Grand Prix
2,VER,1,109.13,3.0,MEDIUM,3.0,2024,Azerbaijan Grand Prix
3,VER,1,109.608,4.0,MEDIUM,4.0,2024,Azerbaijan Grand Prix
4,VER,1,109.245,5.0,MEDIUM,5.0,2024,Azerbaijan Grand Prix
5,VER,1,108.795,6.0,MEDIUM,6.0,2024,Azerbaijan Grand Prix
6,VER,1,108.797,7.0,MEDIUM,7.0,2024,Azerbaijan Grand Prix
7,VER,1,108.643,8.0,MEDIUM,8.0,2024,Azerbaijan Grand Prix
8,VER,1,108.448,9.0,MEDIUM,9.0,2024,Azerbaijan Grand Prix
9,VER,1,109.448,10.0,MEDIUM,10.0,2024,Azerbaijan Grand Prix
10,VER,1,109.645,11.0,MEDIUM,11.0,2024,Azerbaijan Grand Prix
11,VER,1,114.511,12.0,MEDIUM,12.0,2024,Azerbaijan Grand Prix
12,VER,1,126.486,13.0,HARD,1.0,2024,Azerbaijan Grand Prix
13,VER,1,108.269,14.0,HARD,2.0,2024,Azerbaijan Grand Prix
14,VER,1,107.812,15.0,HARD,3.0,2024,Azerbaijan Grand Prix
15,VER,1,108.132,16.0,HARD,4.0,2024,Azerbaijan Grand Prix
16,VER,1,107.718,17.0,HARD,5.0,2024,Azerbaijan Grand Prix
17,VER,1,108.461,18.0,HARD,6.0,2024,Azerbaijan Grand Prix
18,VER,1,107.89,19.0,HARD,7.0,2024,Azerbaijan Grand Prix
19,VER,1,107.89,20.0,HARD,8.0,2024,Azerbaijan Grand Prix
20,VER,1,107.903,21.0,HARD,9.0,2024,Azerbaijan Grand Prix
21,VER,1,108.679,22.0,HARD,10.0,2024,Azerbaijan Grand Prix
22,VER,1,108.908,23.0,HARD,11.0,2024,Azerbaijan Grand Prix
23,VER,1,110.602,24.0,HARD,12.0,2024,Azerbaijan Grand Prix
24,VER,1,108.356,25.0,HARD,13.0,2024,Azerbaijan Grand Prix
25,VER,1,109.021,26.0,HARD,14.0,2024,Azerbaijan Grand Prix
26,VER,1,109.092,27.0,HARD,15.0,2024,Azerbaijan Grand Prix
27,VER,1,109.185,28.0,HARD,16.0,2024,Azerbaijan Grand Prix
28,VER,1,109.216,29.0,HARD,17.0,2024,Azerbaijan Grand Prix
29,VER,1,108.994,30.0,HARD,18.0,2024,Azerbaijan Grand Prix
30,VER,1,108.846,31.0,HARD,19.0,2024,Azerbaijan Grand Prix
31,VER,1,108.392,32.0,HARD,20.0,2024,Azerbaijan Grand Prix
32,VER,1,108.299,33.0,HARD,21.0,2024,Azerbaijan Grand Prix
33,VER,1,109.244,34.0,HARD,22.0,2024,Azerbaijan Grand Prix
34,VER,1,107.996,35.0,HARD,23.0,2024,Azerbaijan Grand Prix
35,VER,1,107.718,36.0,HARD,24.0,2024,Azerbaijan Grand Prix
36,VER,1,107.403,37.0,HARD,25.0,2024,Azerbaijan Grand Prix
37,VER,1,107.282,38.0,HARD,26.0,2024,Azerbaijan Grand Prix
38,VER,1,107.34,39.0,HARD,27.0,2024,Azerbaijan Grand Prix
39,VER,1,107.136,40.0,HARD,28.0,2024,Azerbaijan Grand Prix
40,VER,1,107.525,41.0,HARD,29.0,2024,Azerbaijan Grand Prix
41,VER,1,106.798,42.0,HARD,30.0,2024,Azerbaijan Grand Prix
42,VER,1,107.147,43.0,HARD,31.0,2024,Azerbaijan Grand Prix
43,VER,1,107.149,44.0,HARD,32.0,2024,Azerbaijan Grand Prix
44,VER,1,107.184,45.0,HARD,33.0,2024,Azerbaijan Grand Prix
45,VER,1,107.135,46.0,HARD,34.0,2024,Azerbaijan Grand Prix
46,VER,1,107.721,47.0,HARD,35.0,2024,Azerbaijan Grand Prix
47,VER,1,107.749,48.0,HARD,36.0,2024,Azerbaijan Grand Prix
48,VER,1,112.022,49.0,HARD,37.0,2024,Azerbaijan Grand Prix
49,VER,1,,50.0,SOFT,4.0,2024,Azerbaijan Grand Prix
50,VER,1,,51.0,SOFT,5.0,2024,Azerbaijan Grand Prix
51,GAS,10,124.448,1.0,HARD,1.0,2024,Azerbaijan Grand Prix
52,GAS,10,112.861,2.0,HARD,2.0,2024,Azerbaijan Grand Prix
53,GAS,10,111.565,3.0,HARD,3.0,2024,Azerbaijan Grand Prix
54,GAS,10,109.849,4.0,HARD,4.0,2024,Azerbaijan Grand Prix
55,GAS,10,110.116,5.0,HARD,5.0,2024,Azerbaijan Grand Prix
56,GAS,10,110.071,6.0,HARD,6.0,2024,Azerbaijan Grand Prix
57,GAS,10,109.908,7.0,HARD,7.0,2024,Azerbaijan Grand Prix
58,GAS,10,109.707,8.0,HARD,8.0,2024,Azerbaijan Grand Prix
59,GAS,10,109.776,9.0,HARD,9.0,2024,Azerbaijan Grand Prix
60,GAS,10,109.479,10.0,HARD,10.0,2024,Azerbaijan Grand Prix
61,GAS,10,110.305,11.0,HARD,11.0,2024,Azerbaijan Grand Prix
62,GAS,10,110.207,12.0,HARD,12.0,2024,Azerbaijan Grand Prix
63,GAS,10,110.586,13.0,HARD,13.0,2024,Azerbaijan Grand Prix
64,GAS,10,110.56,14.0,HARD,14.0,2024,Azerbaijan Grand Prix
65,GAS,10,111.674,15.0,HARD,15.0,2024,Azerbaijan Grand Prix
66,GAS,10,110.412,16.0,HARD,16.0,2024,Azerbaijan Grand Prix
67,GAS,10,110.314,17.0,HARD,17.0,2024,Azerbaijan Grand Prix
68,GAS,10,109.879,18.0,HARD,18.0,2024,Azerbaijan Grand Prix
69,GAS,10,109.647,19.0,HARD,19.0,2024,Azerbaijan Grand Prix
70,GAS,10,110.731,20.0,HARD,20.0,2024,Azerbaijan Grand Prix
71,GAS,10,110.09,21.0,HARD,21.0,2024,Azerbaijan Grand Prix
72,GAS,10,110.329,22.0,HARD,22.0,2024,Azerbaijan Grand Prix
73,GAS,10,109.639,23.0,HARD,23.0,2024,Azerbaijan Grand Prix
74,GAS,10,109.699,24.0,HARD,24.0,2024,Azerbaijan Grand Prix
75,GAS,10,109.69,25.0,HARD,25.0,2024,Azerbaijan Grand Prix
76,GAS,10,110.054,26.0,HARD,26.0,2024,Azerbaijan Grand Prix
77,GAS,10,109.311,27.0,HARD,27.0,2024,Azerbaijan Grand Prix
78,GAS,10,109.294,28.0,HARD,28.0,2024,Azerbaijan Grand Prix
79,GAS,10,108.98,29.0,HARD,29.0,2024,Azerbaijan Grand Prix
80,GAS,10,111.275,30.0,HARD,30.0,2024,Azerbaijan Grand Prix
81,GAS,10,109.319,31.0,HARD,31.0,2024,Azerbaijan Grand Prix
82,GAS,10,109.223,32.0,HARD,32.0,2024,Azerbaijan Grand Prix
83,GAS,10,108.774,33.0,HARD,33.0,2024,Azerbaijan Grand Prix
84,GAS,10,108.737,34.0,HARD,34.0,2024,Azerbaijan Grand Prix
85,GAS,10,108.832,35.0,HARD,35.0,2024,Azerbaijan Grand Prix
86,GAS,10,108.95,36.0,HARD,36.0,2024,Azerbaijan Grand Prix
87,GAS,10,108.778,37.0,HARD,37.0,2024,Azerbaijan Grand Prix
88,GAS,10,108.916,38.0,HARD,38.0,2024,Azerbaijan Grand Prix
89,GAS,10,108.738,39.0,HARD,39.0,2024,Azerbaijan Grand Prix
90,GAS,10,108.503,40.0,HARD,40.0,2024,Azerbaijan Grand Prix
91,GAS,10,108.725,41.0,HARD,41.0,2024,Azerbaijan Grand Prix
92,GAS,10,108.827,42.0,HARD,42.0,2024,Azerbaijan Grand Prix
93,GAS,10,108.529,43.0,HARD,43.0,2024,Azerbaijan Grand Prix
94,GAS,10,108.2,44.0,HARD,44.0,2024,Azerbaijan Grand Prix
95,GAS,10,108.048,45.0,HARD,45.0,2024,Azerbaijan Grand Prix
96,GAS,10,108.349,46.0,HARD,46.0,2024,Azerbaijan Grand Prix
97,GAS,10,108.018,47.0,HARD,47.0,2024,Azerbaijan Grand Prix
98,GAS,10,108.364,48.0,HARD,48.0,2024,Azerbaijan Grand Prix
99,GAS,10,108.461,49.0,HARD,49.0,2024,Azerbaijan Grand Prix
100,GAS,10,145.969,50.0,HARD,50.0,2024,Azerbaijan Grand Prix
101,GAS,10,,51.0,SOFT,1.0,2024,Azerbaijan Grand Prix
102,PER,11,113.923,1.0,MEDIUM,1.0,2024,Azerbaijan Grand Prix
103,PER,11,109.236,2.0,MEDIUM,2.0,2024,Azerbaijan Grand Prix
104,PER,11,108.814,3.0,MEDIUM,3.0,2024,Azerbaijan Grand Prix
105,PER,11,108.727,4.0,MEDIUM,4.0,2024,Azerbaijan Grand Prix
106,PER,11,108.768,5.0,MEDIUM,5.0,2024,Azerbaijan Grand Prix
107,PER,11,108.604,6.0,MEDIUM,6.0,2024,Azerbaijan Grand Prix
108,PER,11,108.519,7.0,MEDIUM,7.0,2024,Azerbaijan Grand Prix
109,PER,11,108.153,8.0,MEDIUM,8.0,2024,Azerbaijan Grand Prix
110,PER,11,107.826,9.0,MEDIUM,9.0,2024,Azerbaijan Grand Prix
111,PER,11,108.769,10.0,MEDIUM,10.0,2024,Azerbaijan Grand Prix
112,PER,11,108.721,11.0,MEDIUM,11.0,2024,Azerbaijan Grand Prix
113,PER,11,109.117,12.0,MEDIUM,12.0,2024,Azerbaijan Grand Prix
114,PER,11,113.398,13.0,MEDIUM,13.0,2024,Azerbaijan Grand Prix
115,PER,11,124.864,14.0,HARD,1.0,2024,Azerbaijan Grand Prix
116,PER,11,108.585,15.0,HARD,2.0,2024,Azerbaijan Grand Prix
117,PER,11,107.14,16.0,HARD,3.0,2024,Azerbaijan Grand Prix
